Altium Designer Pick and Place Locations
C:\Users\sch\Desktop\Digital_BuckBoostPower\HDK\DBBC7505S-F\Project Outputs for DBBC7505S-F\Pick Place for DBBC7505S-F.csv

========================================================================================================================
File Design Information:

Date:       03/06/24
Time:       18:02
Revision:   87c8f76dee19acb57e0c06335dd2b07709df6a26
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"H2","7P卧贴排母","TopLayer","HDR-SMD_7P-P2.54-H-F-L11.5","84.7090mm","37.0840mm","90",""
"U11","TCAN332GDR","TopLayer","SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL","25.4000mm","19.2896mm","90","CANFD收发芯片"
"U5","CSA240LCSOIC8","TopLayer","SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL","47.6411mm","26.6700mm","0","低噪声低温漂双向电流高端检测芯片"
"U6","CSA240LCSOIC8","TopLayer","SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL","36.4490mm","26.6916mm","0","低噪声低温漂双向电流高端检测芯片"
"U3","CSA240LCSOIC8","TopLayer","SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL","42.0370mm","26.5646mm","0","低噪声低温漂双向电流高端检测芯片"
"U1","GS8552-SR","TopLayer","SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL","27.8130mm","37.7190mm","180","1.5MHZ, 轨到轨高精双通道运放"
"U9","STM32H743VIH6","TopLayer","FP-TFBGA100-A08Q-MFG","73.8950mm","23.3490mm","270","HIGH-PERFORMANCE AND DSP WITH DP"
"R24","10 ohm","TopLayer","R0402","60.1980mm","20.3200mm","180",""
"H3","Header-Male-2.54_1x2","TopLayer","HDR2.54-LI-2P","18.0561mm","19.2896mm","0",""
"X1","25Mhz","TopLayer","OSC_3225-4P","75.0570mm","32.3850mm","270",""
"U10","IRS2186STRPBF","TopLayer","FP-PG-DSO-8-IPC_B","60.1205mm","36.9570mm","180","IC GATE DRVR HI/LOW SIDE 8SOIC"
"U8","IRS2186STRPBF","TopLayer","FP-PG-DSO-8-IPC_B","41.1949mm","36.9570mm","180","IC GATE DRVR HI/LOW SIDE 8SOIC"
"U7","TLV1117-33IDCYR","TopLayer","FP-DCY0004A-MFG","13.7551mm","31.6372mm","180","IC REG LIN 3.3V 800MA SOT223-4"
"U4","TLV1117-50IDCY","TopLayer","FP-DCY0004A-MFG","13.7551mm","39.5184mm","180","IC REG LINEAR 5V 800MA SOT223-4"
"TP22","TestPoint_DIP","TopLayer","TestPoint_DIP","61.7220mm","28.3079mm","90","测试点"
"TP21","TestPoint_DIP","TopLayer","TestPoint_DIP","61.7220mm","30.3307mm","90","测试点"
"TP20","TestPoint_DIP","TopLayer","TestPoint_DIP","61.7220mm","22.0980mm","90","测试点"
"TP19","TestPoint_DIP","TopLayer","TestPoint_DIP","61.7220mm","24.2730mm","90","测试点"
"TP12","TestPoint_DIP","TopLayer","TestPoint_DIP","52.9237mm","44.5723mm","90","测试点"
"TP9","TestPoint_DIP","TopLayer","TestPoint_DIP","33.9893mm","44.5959mm","90","测试点"
"TP7","TestPoint_DIP","TopLayer","TestPoint_DIP","39.6240mm","16.5100mm","90","测试点"
"TP6","TestPoint_DIP","TopLayer","TestPoint_DIP","68.4530mm","44.8310mm","90","测试点"
"TP5","TestPoint_DIP","TopLayer","TestPoint_DIP","46.3550mm","55.4990mm","90","测试点"
"TP4","TestPoint_DIP","TopLayer","TestPoint_DIP","86.4870mm","72.6440mm","90","测试点"
"TP3","TestPoint_DIP","TopLayer","TestPoint_DIP","10.2870mm","70.7390mm","90","测试点"
"TP2","TestPoint_DIP","TopLayer","TestPoint_DIP","82.9310mm","92.9640mm","90","测试点"
"TP1","TestPoint_DIP","TopLayer","TestPoint_DIP","15.2400mm","92.8370mm","90","测试点"
"Screen1","FPC0.5-8P","TopLayer","FPC0.5_2H-S-W-8P","12.7215mm","6.9850mm","90","FPC连接器"
"R48","10 ohm","TopLayer","R0603","67.2044mm","28.3079mm","180",""
"R47","10 ohm","TopLayer","R0402","81.5858mm","32.6390mm","180",""
"R46","10 ohm","TopLayer","R0603","67.2044mm","30.3307mm","180",""
"R45","10 ohm","TopLayer","R0402","81.5858mm","34.3176mm","180",""
"R44","10 ohm","TopLayer","R0603","67.2044mm","22.1401mm","180",""
"R43","10 ohm","TopLayer","R0402","81.5858mm","35.9963mm","180",""
"R42","10 ohm","TopLayer","R0603","67.2044mm","24.2730mm","180",""
"R41","10 ohm","TopLayer","R0402","81.5858mm","39.3536mm","180",""
"R40","60.4 ohm","TopLayer","R0603","19.2347mm","16.7190mm","0",""
"R39","60.4 ohm","TopLayer","R0603","19.2347mm","21.8631mm","0",""
"R38","10k","TopLayer","R0402","81.5858mm","41.0048mm","180",""
"R37","10k","TopLayer","R0402","81.5858mm","37.6749mm","180",""
"R36","10k","TopLayer","R0402","65.8612mm","20.3200mm","0",""
"R35","10k","TopLayer","R0402","81.3552mm","26.1620mm","180",""
"R34","10 ohm","TopLayer","R0402","31.3171mm","21.6343mm","180",""
"R33","10k","TopLayer","R0402","65.9018mm","38.6531mm","180",""
"R32","10k","TopLayer","R0402","65.9018mm","34.7368mm","180",""
"R31","10 ohm","TopLayer","R0603","62.1181mm","43.0618mm","90",""
"R30","10 ohm","TopLayer","R0603","57.7850mm","43.0618mm","90",""
"R29","10k","TopLayer","R0402","46.9763mm","38.6531mm","180",""
"R28","10k","TopLayer","R0402","46.9763mm","34.7368mm","180",""
"R27","10 ohm","TopLayer","R0603","42.7990mm","43.0618mm","90",""
"R26","10 ohm","TopLayer","R0603","39.2430mm","43.0618mm","90",""
"R25","10k","TopLayer","R0402","88.2395mm","18.6690mm","90",""
"R20","3k","TopLayer","R0402","86.9860mm","10.2805mm","0",""
"R19","3k","TopLayer","R0402","25.7854mm","32.2362mm","90",""
"R18","3k","TopLayer","R0402","25.7854mm","43.2798mm","270",""
"R17","72k","TopLayer","R0402","27.2535mm","32.2362mm","90",""
"R16","330 ohm","TopLayer","R0402","81.2292mm","3.9962mm","90",""
"R15","72k","TopLayer","R0402","27.2535mm","43.2798mm","90",""
"R12","72k","TopLayer","R0402","28.7217mm","32.2362mm","90",""
"R11","10k","TopLayer","R0402","74.8913mm","3.9962mm","270",""
"R10","10k","TopLayer","R0402","66.1606mm","3.9962mm","270",""
"R9","10k","TopLayer","R0402","57.2130mm","3.9962mm","270",""
"R8","510 ohm","TopLayer","R0402","79.6290mm","3.9962mm","270",""
"R7","72k","TopLayer","R0402","28.7217mm","43.2798mm","90",""
"R3","3k","TopLayer","R0402","30.1898mm","32.2362mm","90",""
"R2","3k","TopLayer","R0402","30.1898mm","43.2798mm","270",""
"R1","330 ohm","TopLayer","R0402","78.0288mm","3.9962mm","270",""
"LED2","LED 0603G","TopLayer","LED_0603G","91.7581mm","10.2870mm","0","绿色0603LED"
"LED1","LED 5050","TopLayer","LED_5050","79.6290mm","9.4869mm","90","5050RGB-LED"
